Code,ID,Name,Address,Province,Price,Area,Beds,Bedrooms,Bathrooms,MaxGuests,Facilities,Landmark,Transport,Essential,Rating
"HH0",1,"The Paragon Pool Villa Huahin","No. 2/492, Soi Chamchuen, Huahin-Huaymongkol Road, Hin Lek Fai, Hua Hin","Huahin/Cha-am",6153.00,365.00,14,5,3,20,"Free Wifi, Beach, Pool with view, Free Parking, Pool(kids), Balcony & Terrace, Garden","Hua Hin Beach (5.4 km), Vana Nava Water Jungle (7.12 km), Hutsadin Elephant Foundation (2.52 km)","Hua Hin Airport (8.06 km), Hua Hin Bus Station (4.93 km), Hun Hin Railway Station (5.04 km)","Clinic Si Samai Kan Phaet (4.18 km), Cicada Market (7.33 km), Family Mart (720 m)",8.4
"HH1",2,"Ami Pool Villa Huahin","100 The Modern Pool villa Hua Hin 1228 Soi 6, Hua Hin Subdistrict, Hua Hin District, Prachuap Khiri Huahin/Cha-am","Huahin/Cha-am",9661.00,370.00,9,4,5,16,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Garden","Hua Hin Beach (2.4 km), Golf Course (3.0 km), Apinya Printing Co. Ltd. (5.2 km)","Hua Hin Airport (6.3 km), Hua Hin Bus Station (3.5 km), Hun Hin Railway Station (3.2 km)","ATM (1.5 km), Cicada Market (5.8 km), Family Mart (1.9 km)",7.3
"HH2",3,"Stellar House","Thanon Hua Hin 70 Prachuap Khiri Khan","Huahin/Cha-am",4506.00,350.00,12,3,2,15,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Smoking Area","Hua Hin Beach (4.5 km),  Vana Nava Water Jungle (6.8 km), Market Village HuaHin (5.1 km)","Hua Hin Airport (7.2 km), Hua Hin Bus Station (4.1 km), Hun Hin Railway Station (2.7 km)","Clinic Si Samai Kan Phaet (3.3 km), ATM (1.8 km), Cicada Market (7 km), 7 Eleven (120 m)",9.1
"HH3",4,"Thacha Pool Villa B","139 M.2 Thaptai, Thap Tai, Hua Hin/Cha-am, Prachuap Khiri Khan, Thailand, 77110","Huahin/Cha-am",9086.00,340.00,7,3,4,10,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Smoking Area, Airport Transfer","Hua Hin Beach (8.8 km),  Vana Nava Water Jungle (7.9 km), Market Village HuaHin (9.4 km)","Hua Hin Airport (15.2 km), Hua Hin Bus Station (8.1 km), Hun Hin Railway Station (8.4 km)","Nana Clinic (9.1 km), Cicada Market (8.4 km), 7 Eleven (300 m)",9.3
"HH4",5,"Happy Pool Villa Hua Hin","398 2 Soi Rai Wirat, Hin Lek Fai Subdistrict, Hua Hin District, Prachuap Khiri Khan 77110","Huahin/Cha-am",5554.00,290.00,7,3,2,10,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Smoking Area, Pets Allowed, Garden","Hua Hin Beach (4.5 km),  Vana Nava Water Jungle (6.8 km), Market Village HuaHin (5.1 km)","Hua Hin Airport (7.2 km), Hua Hin Bus Station (4.1 km), Hun Hin Railway Station (4.3 km)","Clinic Si Samai Kan Phaet (3.3 km), Cicada Market (7 km), 7 Eleven (180 m)",9.1
"HH5",6,"Visas seaview Villa","122, Pranburi, Hua Hin/Cha-am, Thailand 77120","Huahin/Cha-am",11524.00,200.00,10,3,3,12,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Smoking Area, Pets Allowed, Garden","Hua Hin Beach (20.5 km),  Vana Nava Water Jungle (22.5 km), Market Village HuaHin (25.4 km)","Hua Hin Airport (33.2 km), Hua Hin Bus Station (9.1 km), Hun Hin Railway Station (9.0 km)","Pak Nam Pran Health Center (7.7 km), 7 Eleven (2.8 m)",8.3
"HH6",7,"My PoolVilla Cha am","104/1 Moo9, Tambon Khao Yai, Amphoe Cha-am, Phetchaburi, Cha - am","Huahin/Cha-am",5565.00,130.00,8,3,2,10,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Smoking Area, Airport Transfer","Hua Hin Beach (13.7 km), Vana Nava Water Jungle (31.2 km), Hutsadin Elephant Foundation (25.2 km)","Hua Hin Airport (20.3 km), Hua Hin Bus Station (4.8 km), Hun Hin Railway Station (5.0 km)","Muengpetch Thonburi Hospital (5.5 km), Cicada Market (30.8 km), 7 Eleven (2.3 km)",8.9
"HH7",8,"Baan Chomniwetpoolvilla cha am hua hin 2","1214/9 Hua Hin/Cha-am, Prachuap Khiri Khan 76120, Thailand","Huahin/Cha-am",3408.00,100.00,6,2,2,8,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Smoking Area, Pets Allowed","Hua Hin Beach (1.8 km),  Vana Nava Water Jungle (18.3 km), Market Village HuaHin (15.5 km)","Hua Hin Airport (7.6 km), Hua Hin Bus Station (1.2 km), Hun Hin Railway Station (590 m)","ATM (1.4 km), Cicada Market (18.3 km), Family Mart (900 m)",8.2
"HH8",9,"The Stay Huahin - Luxury Private Pool Villa","8, Khao Tao, 2206 Khaotao, Nong Kae Subdistrict, Hua Hin District, Prachuap Khiri Khan 77110","Huahin/Cha-am",21143.00,180.00,8,4,4,12,"Free Wifi, Swimmimg Pool, Free Parking, Balcony & Terrace, Smoking Area","Hua Hin Beach (5.3 km),  Vana Nava Water Jungle (6.6 km), Market Village HuaHin (9.5 km)","Hua Hin Airport (17.3 km), Hua Hin Bus Station (2.2 km), Hun Hin Railway Station (1.7 km)","ATM (920 m), Cicada Market (6.9 km), 7 Eleven (910 m)",9.0
"HH9",10,"Villa Town Pool","16/122(A61) Soi Mu Ban Railway West, Hua Hin","Huahin/Cha-am",2290.00,84.00,5,2,1,4,"Free Wifi, Swimming Pool, Free Parking, Balcony & Terrace, Garden","Hua Hin Beach (2.5 km),  Hutsadin Elephant Foundation (4.2 km), Market Village HuaHin (8.3 km)","Hua Hin Airport (2.4 km), Hua Hin Bus Station (2.5 km), Hun Hin Railway Station (2.2 km)","ATM (1.5 km), Kunklong Pharma (1.9 km), Family Mart (1.9 km)",8.1
